  Function	     4096 words	    32768 words	  1048576 words	1073741824 words	
 atan2dp_i	         867497	        6788637	      184285970	   100641834442	
 atan2sp_i	         377818	        2950149	       94140349	    96394569487	
  atandp_i	         817925	        6394463	      218552572	   169339708958	
  atansp_i	          71148	         493289	       15533413	    15900297749	
     cmp_i	      170828291	     1246301621	    39351873943	 40292901549388	
   cosdp_i	         409957	        3132375	       99722936	   102106382734	
   cossp_i	         414747	        3246501	      103632843	   106115223113	
   divdp_i	          75318	         464846	       14383658	    14719598992	
   divsp_i	         123771	         918513	       29130327	    29823027445	
 exp10dp_i	         487024	        3755098	      119659758	   122521620556	
 exp10sp_i	         329655	        2565165	       82548625	    84583480027	
  exp2dp_i	         487776	        3754526	      119654988	   122516413172	
  exp2sp_i	         418823	        3277917	      104627793	   107133959593	
   expdp_i	         471389	        3623989	      115461944	   118222757400	
   expsp_i	         330483	        2565145	       82549653	    84584558875	
 log10dp_i	         829800	        6493105	      180898630	   178937718062	
 log10sp_i	         316433	        2458765	       78414093	    80292609607	
  log2dp_i	         823741	        6443828	      185994872	   177327708918	
  log2sp_i	         317115	        2458709	       78413255	    80292085009	
   logdp_i	         812689	        6362367	      182605278	   180023601900	
   logsp_i	         300075	        2327425	       74218275	    75996897515	
   powdp_i	        1352466	       10675586	      327184640	   329359827574	
   powsp_i	         620368	        4885273	      156077551	   159821955781	
 recipdp_i	         193963	        1411227	       44642362	    45712594278	
 recipsp_i	          30557	         172519	        5296455	     5415546121	
 rsqrtdp_i	         255588	        1902758	       60377262	    61821901144	
 rsqrtsp_i	         242680	        1868777	       59537651	    60964230327	
   sindp_i	         384648	        2935224	       93427130	    95664319322	
   sinsp_i	         349822	        2720783	       86800097	    88882716307	
  sqrtdp_i	         305593	        2296161	       72968846	    74714424974	
  sqrtsp_i	         263755	        2032599	       64780923	    66334295785	
