  Function	     4096 words	    32768 words	  1048576 words	1073741824 words	
   atan2dp	        1079683	        8415361	      237892410	   116454214960	
   atan2sp	         273735	        2083269	       66199279	    25658062651	
    atandp	         692918	        5313882	      185529894	   132966983969	
    atansp	         278054	        2116929	       52916327	    51666048437	
     cosdp	         434033	        3243895	      102978082	   105435283580	
     cossp	         237813	        1789779	       56753127	    58110494137	
     divdp	         278749	        2019483	       63650196	    65168623626	
     divsp	         148695	        1085105	       34198843	    35010795655	
   exp10dp	         301203	        1322565	       38529676	    39380238994	
   exp10sp	         152214	        1086695	       34197811	    35010780053	
    exp2dp	         588049	        1610517	       38814802	    39382290210	
    exp2sp	         155084	        1090685	       34208323	    35013664277	
     expdp	         432979	        1255461	       31345462	    31865721750	
     expsp	         154075	        1087709	       34206085	    35012985305	
   log10dp	         711260	        5460338	       65771563	    36221003614	
   log10sp	         237060	        1786705	       56752793	    58112147009	
    log2dp	         709962	        5460096	       86069378	    36243736920	
    log2sp	         236940	        1788211	       56757965	    58113584405	
     logdp	         708380	        5444419	       75772438	    36233549230	
     logsp	         329482	        2527431	       80454463	    82381873995	
     powdp	        1250911	        9762095	      135203104	    30644906960	
     powsp	         458237	        3558079	       43439027	    28043693935	
   recipdp	         322062	        2360338	       74593234	    76371778240	
   recipsp	         139551	        1003195	       31577337	    32326622453	
   rsqrtdp	         323389	        2359497	       74668614	    76447457380	
   rsqrtsp	         162018	        1181833	       37348827	    38236512121	
     sindp	         422244	        3163318	       82370818	    82878659948	
     sinsp	         224599	        1690221	       53604115	    54885647170	
    sqrtdp	         344701	        2530327	       79940560	    81845422676	
    sqrtsp	         169238	        1248709	       39446559	    40384827409	
