Function  	4096 words     	32768 words    	1048576 words  	1073741824 words	
atan2dp_i 	466612.00      	846992.00      	27792757.00    	28401478808.00 	
atan2sp_i 	325422.00      	600159.00      	19377235.00    	19858658719.00 	
atandp_i  	417255.00      	712706.00      	23679861.00    	23621279248.00 	
atansp_i  	247606.00      	438877.00      	14021824.00    	13581479163.00 	
cmpdp_i   	42937.00       	346267.00      	11095682.00    	11361218820.00 	
cosdp_i   	783956.00      	1214981.00     	38515372.00    	39593440043.00 	
cossp_i   	4627472.00     	9933793.00     	318369409.00   	327972562667.00	
divdp_i   	114093.00      	230165.00      	7064997.00     	7080554820.00  	
divsp_i   	74354.00       	138664.00      	4483326.00     	4549448138.00  	
exp10dp_i 	52189.00       	109591.00      	3078468.00     	3283304051.00  	
exp10sp_i 	46431.00       	86953.00       	2828566.00     	2886259413.00  	
exp2dp_i  	258591.00      	420639.00      	11287229.00    	11569023373.00 	
exp2sp_i  	253615.00      	330585.00      	10474141.00    	10783410407.00 	
expdp_i   	263327.00      	296491.00      	9296190.00     	9492556815.00  	
expsp_i   	188572.00      	332963.00      	10787092.00    	10695861542.00 	
log10dp_i 	722949.00      	1365761.00     	42676562.00    	43745143212.00 	
log10sp_i 	335019.00      	625418.00      	20028462.00    	20672724827.00 	
log2dp_i  	360713.00      	611766.00      	20129907.00    	20189405102.00 	
log2sp_i  	259819.00      	484967.00      	15527817.00    	15848828077.00 	
logdp_i   	543412.00      	999234.00      	31625976.00    	32615801018.00 	
logsp_i   	240329.00      	449736.00      	14424537.00    	14848222960.00 	
powdp_i   	1128618.00     	1828068.00     	63503401.00    	65492321276.00 	
powsp_i   	1399417.00     	2640879.00     	90240168.00    	86764440446.00 	
recipdp_i 	115842.00      	213180.00      	6852396.00     	7032525816.00  	
recipsp_i 	90234.00       	137123.00      	4431063.00     	4828839425.00  	
rsqrtdp_i 	231875.00      	431788.00      	13844224.00    	14261804383.00 	
rsqrtsp_i 	160298.00      	301132.00      	9652007.00     	9965751706.00  	
sindp_i   	161117.00      	1233102.00     	41194894.00    	40193846229.00 	
sinsp_i   	3697141.00     	9814332.00     	331083400.00   	328515946496.00	
sqrtdp_i  	25711.00       	203821.00      	6518692.00     	6722369624.00  	
sqrtsp_i  	17715.00       	144146.00      	4624490.00     	4708808834.00  	
