Function  	4096 words     	32768 words    	1048576 words  	1073741824 words	
atan2dp_i 	467871.00      	905224.00      	27688889.00    	28347256279.00 	
atan2sp_i 	325573.00      	642006.00      	19337433.00    	19813662908.00 	
atandp_i  	416389.00      	762633.00      	23151129.00    	24236669408.00 	
atansp_i  	245872.00      	467775.00      	13262745.00    	13519289191.00 	
cmpdp_i   	45946.00       	345899.00      	11067563.00    	11415155203.00 	
cosdp_i   	724337.00      	1250016.00     	38635284.00    	39538634572.00 	
cossp_i   	4612488.00     	10222808.00    	319591894.00   	328405658363.00	
divdp_i   	114374.00      	214091.00      	6895937.00     	7069066112.00  	
divsp_i   	73141.00       	159404.00      	5199406.00     	5193637037.00  	
exp10dp_i 	53547.00       	99120.00       	3064694.00     	3160653145.00  	
exp10sp_i 	47428.00       	88113.00       	2837823.00     	2906605823.00  	
exp2dp_i  	295810.00      	421117.00      	11302145.00    	11610571201.00 	
exp2sp_i  	185079.00      	330195.00      	10486435.00    	10759583722.00 	
expdp_i   	246864.00      	297003.00      	9149518.00     	9395542413.00  	
expsp_i   	187530.00      	327735.00      	10389359.00    	10662335639.00 	
log10dp_i 	724918.00      	1373025.00     	42980837.00    	43711831102.00 	
log10sp_i 	336187.00      	648834.00      	20034640.00    	20572719936.00 	
log2dp_i  	324376.00      	608575.00      	19670244.00    	20201018591.00 	
log2sp_i  	255644.00      	478206.00      	15386647.00    	15737515881.00 	
logdp_i   	539166.00      	1023616.00     	31696181.00    	32533269848.00 	
logsp_i   	239864.00      	448755.00      	14442141.00    	14832493094.00 	
powdp_i   	1179086.00     	1850759.00     	63590353.00    	65162667832.00 	
powsp_i   	1443903.00     	2625745.00     	85117718.00    	86518744395.00 	
recipdp_i 	28404.00       	213424.00      	6848843.00     	7024500305.00  	
recipsp_i 	18271.00       	145772.00      	4418369.00     	4837830877.00  	
rsqrtdp_i 	58089.00       	431361.00      	13890734.00    	14228312927.00 	
rsqrtsp_i 	40065.00       	300929.00      	9682761.00     	9934200695.00  	
sindp_i   	172111.00      	1228716.00     	41247225.00    	40396150764.00 	
sinsp_i   	1074250.00     	9987447.00     	322383123.00   	325961523696.00	
sqrtdp_i  	27335.00       	203828.00      	6568998.00     	6718536265.00  	
sqrtsp_i  	19537.00       	139828.00      	4540382.00     	4574343064.00  	
