  Function	     4096 words	    32768 words	  1048576 words	1073741824 words	
   atan2dp	        2028101	       16066549	      453102518	   185040293322	
   atan2sp	         526001	        4131253	      131956585	    50877342793	
    atandp	        1338100	       10557584	      370207648	   265044959524	
    atansp	         534396	        4197243	      105399429	   102893195175	
     cosdp	         805237	        6295615	      200966872	   205780213978	
     cossp	         452301	        3541767	      113078385	   115786419927	
     divdp	         505999	        3902353	      124375020	   127350462650	
     divsp	         275342	        2131523	       67957847	    69583882055	
   exp10dp	         433263	        2452109	       74139614	    75780458408	
   exp10sp	         277258	        2133457	       67960583	    69583888981	
    exp2dp	         719327	        2738563	       74432290	    75781661886	
    exp2sp	         282456	        2137865	       67968701	    69587477645	
     expdp	         535461	        2153945	       59616250	    60741742688	
     expsp	         279591	        2135965	       67965785	    69587700911	
   log10dp	        1375380	       10852092	      130700756	    72671457985	
   log10sp	         451586	        3541201	      113074781	   115785134943	
    log2dp	        1374822	       10851932	      171272462	    72708604496	
    log2sp	         451602	        3541107	      113075585	   115785767331	
     logdp	        1370774	       10819476	      150695040	    70523008922	
     logsp	         637266	        5021505	      160429757	   114712009175	
     powdp	        2450953	       19454989	      260380784	    60411099852	
     powsp	         894823	        7081373	       86282945	   116622723949	
   recipdp	         599098	        4649890	      148317204	   115543181756	
   recipsp	         254979	        1967773	       62714829	    64215292219	
   rsqrtdp	         592091	        4591205	      146409086	   149918956206	
   rsqrtsp	         300658	        2328435	       74255711	    76032919845	
     sindp	         784512	        6131412	      159743414	   160665048774	
     sinsp	         426921	        3344663	      106781543	   109349075775	
    sqrtdp	         640679	        4984691	      159001026	   162811616124	
    sqrtsp	         316290	        2459329	       78451805	    80334309047	
