  Function	     4096 words	    32768 words	  1048576 words	1073741824 words	
 atan2dp_i	         455971	        3431499	       92580152	    50761999900	
 atan2sp_i	         201718	        1492359	       47299137	    48427691655	
  atandp_i	         432199	        3234683	      109715248	    85113412018	
  atansp_i	         194880	        1461263	       46219087	    47322855963	
     cmp_i	      113469304	      676470043	    21161222772	 21656874314495	
   cosdp_i	         237719	        1693867	       53169144	    54427945594	
   cossp_i	         218669	        1642035	       52037467	    53279845137	
   divdp_i	          80698	         443404	       13365058	    13670867218	
   divsp_i	          73225	         478549	       14784387	    15138303369	
 exp10dp_i	         275980	        2002538	       63138840	    64634879800	
 exp10sp_i	         176945	        1301461	       41505759	    42519795087	
  exp2dp_i	         277244	        2002402	       63131790	    64631896718	
  exp2sp_i	         220787	        1658233	       52537391	    53794620619	
   expdp_i	         268103	        1935325	       61035412	    62485770796	
   expsp_i	         176843	        1302043	       41505673	    42521186247	
 log10dp_i	         453324	        3397490	       94582672	    93642522708	
 log10sp_i	         170311	        1248789	       39436919	    40374983715	
  log2dp_i	         448189	        3382362	       97391976	    93106743592	
  log2sp_i	         170895	        1246341	       39434679	    40373316177	
   logdp_i	         442907	        3329269	       95779534	    94712281864	
   logsp_i	         161103	        1181319	       37336217	    38225426037	
   powdp_i	         699570	        5375212	      164569024	   165125499614	
   powsp_i	         321220	        2459283	       78264759	    80133276885	
 recipdp_i	         142005	         917139	       28485374	    29160159786	
 recipsp_i	         100356	         686833	       21578433	    22092755191	
 rsqrtdp_i	         172048	        1161808	       36359132	    37212876776	
 rsqrtsp_i	         133932	         951221	       29991855	    30710054373	
   sindp_i	         226726	        1596254	       50018704	    51200921018	
   sinsp_i	         185884	        1377009	       43622763	    44665454457	
  sqrtdp_i	         196176	        1358734	       42651932	    43659925844	
  sqrtsp_i	         144169	        1033015	       32612781	    33392408091	
